,วันที 09 เดือน กุมภาพันธ์ พ.ศ.,2565 เวสา 18:36,และพาณิชย์ (ฉบับที,ร่างพระราชบัญญัติ แก้ไขเพิ่มเติมประมวลกฎหมายแพ่ง - - -
225,389,นายสงศักดิ์ เทพสุทิน,พรรคพลังประชารัฐ,
226,ๆไม5,นายสันติ พร้อมพัฒน์,พรรคพหลังประชารัฐ,-
227,ๆ20,นายสุขาติ ขมกลิน,พรรคพลังประชารัฐ,
228,ๆ21,นายสุขาติ ต้นเจริญ,พรรคพลังประชารัฐ,-
229,006,นายกรวิร์ ปริศนานันทกุล,พรรคภูมิใจไทย,เห็นด้วย
230,008,นายกฤติเตซ สันติวซิระกุล,พรรคภูมิใจไทย,เห็นด้วย
231,021,นายกิตตีซัย เรืองสวัสดิ์,พรรคภูมิใจไทย,เห็นด้วย
232,032,นายเกียรติ เหลืองขจรวิทย์,พรรคภูมีใจไทย,เห็นด้วย
233,0วจ3,นายเกื้อกูส ด่านขัยวิจิตร,พรรคภูมิใจไทย,เห็นด้วย
234,040,นายคงกฤษ ฉัตรมาลีรัตน์,พรรคภูมิใจไทย,เห็นด้วย
235,052,นายจักรกฤษณ์ ทองศรี,พรรศภูมิใจไทย,เห็นด้วย
236,082,นายขยุต ภมมะกาณญจนะ,พรรคภูมิใจไทย,เห็นด้วย
237,095,นายขาดา ไทยเศรษฐ์,พรรคภูมิใจไทย,เห็นด้วย
238,104,นายโชติพิพัฒน์ เตขะโสภณมณี,พรรคภูมีใจไทย,เห็นด้วย
239,113,นายฐิติบันท์ แสงนาค,พรรคภูมิใจไทย,เห็นด้วย
240,116,นายณ์ภูจชนน ศรีก่อเกื้อ,พรรคภูมิใจไทย,เห็นด้วย
241,132,นายไตรเทพ งามกมล,พรรคภูมิใจไทย,เห็นด้วย
2002,136,พันเอกเศรษฐพงศ์ มะลิสวรรณ,พรรคภูมิใจไทย,เห็นด้วย
2843,177,นายสุชาติ โชคชัยวัฒนากร,พรรคภูมิใจไทย,เห็นด้วย
244,197,นายบุญลือ ประเสริฐโสภา,พรรคภูมิใจไทย,เห็นด้วย
245,200,นายปกรณ์ มุ่งเจริญพร,พรรคภูมิใจไทย,เห็นด้วย
2846,230,นายพรขัย อํานวยทรัพย์,พรรคภูมิใจไทย,เห็นด้วย
247,233,นางสาวพรพิมล ธรรมสาร,พรรคภูมิใจไทย,เห็นด้วย
248,2846,นายพิบูลย์ รัชกิจประการ,พรรคภูมิใจไทย,เห็นด้วย
2๐2849,249,นายพิษณุ พลธี,พรรคภูมิใจไทย,เห็นด้วย
250,263,นายภราคร ปริศนานันทกุล,พรรคภูมิใจไทย,เห็นด้วย
251,2 4,ร้อยตํารวจตรีมณฑลส โพธิ์คาย,พรรคภูมิใจไทย,เห็นด้วย
02052,280,นางสาวมัสลิกา จิระพันธุ์วาณิช,พรรคภูมิใจไทย,เห็นด้วย
253,281,นายมานพ ศรีผึ้ง,พรรคภูมิใจไทย,เห็นด้วย
254,299,นายรังสิกร ทิมาตฤกะ,พรรคภูมิใจไทย,เห็นด้วย
255,ว203,นายรุ่งโรจน์ ทองศรี,พรรคภูมิใจไทย,เห็นด้วย
256,5330,นายวิรัช พันธุมะผล,พรรคภูมีใจไทย,เห็นด้วย
,,,,หน้า 9/ 1.1521
ลําดับที่,เลขที่บัตร,ชื่อ-สกุล,ชื่อสังกัด,ผลการลงคะแนน
257,338,นายวิสิทธิ์ พิทยาภรณ์,พรรคภูมิใจไทย,เห็นด้วย
258,3ๆ1,นายมารุต มัสยวาณิช,พรรคภูมิใจไทย,เห็นด้วย
259,2353,นางสาวศรีนวล บุญลือ,พรรคภูมิใจไทย,เห็นด้วย
260,364,นายศิริวัฒน์ ขจรประศาสน์,พรรคภูมีใจไทย,เห็นด้วย
261,369,นางสาวศุภมาส ฮิศรภักดี,พรรคภูมิใจไทย,เห็นด้วย
262,9373,นายสนอง เทพอักษรณรงค์,พรรคภูมิใจไทย,เห็นด้วย
263,385,นายสมบูรณ์ ซารัมย์,พรรคภูมิใจไทย,เห็นด้วย
2ค6์ณี,396ย์,นายสรอรรถ กลินประทุม,พรรคภูมิไจไทย,เห็นด้วย
265,399,นายสฤษฎ์พงษ์ เกี่ยวข้อง,พรรคภูมีใจไทย,เห็นด้วย
266,8400,นายสถนติ้ บุตรเนียร,พรรคภูมิใจไทย,เห็นด้วย
