id,title,name,lastname,party,is_mp,is_senator,is_cabinet,is_active,votelog.__1,votelog.__2,votelog.__3,votelog.__4,votelog.__5,votelog.__6,votelog.__7,votelog.__8,votelog.__9,votelog.__10,votelog.__11,votelog.__12,votelog.__13,votelog.__14,votelog.__26,votelog.__27,votelog.__28,votelog.__29,votelog.__30,votelog.__31,votelog.__32,votelog.__33,votelog.__34,votelog.__35,votelog.__36,votelog.__37,votelog.__38,votelog.__39,votelog.__40,votelog.__41,votelog.__42,votelog.__43,votelog.__44,votelog.__45,votelog.__46,votelog.__47,votelog.__48,votelog.__49,votelog.__50,votelog.__51,votelog.__52,votelog.__53,votelog.__54,votelog.__55,votelog.__56,votelog.__57,votelog.__58,votelog.__59,votelog.__60,votelog.__61,votelog.__62,votelog.__63,votelog.__64,votelog.__65,votelog.__66,votelog.__67,votelog.__68,votelog.__69,votelog.__70,votelog.__71,votelog.__72,votelog.__73,votelog.__74,votelog.__75,votelog.__76,votelog.__77,votelog.__78,votelog.__79,votelog.__80,votelog.__81,votelog.__82,
33,นาย,กษิดิ์เดช,ชุติมันต์,พลังประชารัฐ,1,0,0,1,1,2,1,2,1,1,1,4,2,4,1,4,2,2,3,1,3,3,3,3,3,1,2,2,2,2,2,2,2,2,2,2,3,1,3,1,3,3,1,1,1,3,3,3,3,1,1,2,2,2,2,2,2,,1,1,1,1,2,1,2,2,1,1,1,1,1,1,,1,1,
34,นาย,กัญจน์พงศ์,จงสุทธนามณี,ก้าวไกล,1,0,0,1,2,1,1,1,2,3,1,1,4,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,3,3,1,3,3,3,3,3,3,1,3,3,2,1,1,1,1,1,1,1,,,2,1,1,,1,1,,,,,2,2,2,2,2,
35,นาง,กันตวรรณ,ตันเถียร,ประชาธิปัตย์,1,0,0,1,1,2,2,2,1,1,1,1,4,1,1,1,2,2,1,1,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,,1,1,,,2,,,,1,1,1,1,1,,,,,
36,นางสาว,กัลยา,รุ่งวิจิตรชัย,พลังประชารัฐ,1,0,0,1,1,2,1,2,1,1,1,1,2,1,1,1,2,4,1,1,3,3,3,3,3,1,2,2,2,2,2,2,2,2,2,2,4,1,3,1,3,3,1,1,1,3,3,3,3,1,1,2,2,2,2,2,2,1,1,1,1,1,2,1,2,2,1,1,1,1,2,1,1,1,1,
37,ดร.,พิสิฐ,ลี้อาธรรม,ประชาธิปัตย์,1,0,0,1,-,2,2,1,1,1,1,1,2,1,1,1,2,2,1,1,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,2,1,2,2,,1,1,1,2,2,1,1,1,
38,นางสาว,กานต์กนิษฐ์,แห้วสันตติ,พลังประชารัฐ,1,0,0,1,1,2,1,2,1,1,1,1,2,1,1,1,2,2,3,1,,3,3,3,3,1,2,2,2,2,2,2,2,2,2,2,4,1,3,1,3,3,1,1,1,3,3,3,3,1,1,2,2,2,2,2,2,1,1,1,1,1,2,1,2,2,1,1,1,1,3,1,,1,1,
39,นาย,การุณ,โหสกุล,เพื่อไทย,1,0,0,1,2,2,1,1,1,3,1,1,4,4,3,4,4,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1, ,,,,,1,,1,1,1,1,1,1,1,2,2,,,
40,นาย,กิตติ,สมทรัพย์,เพื่อไทย,1,0,0,1,2,2,3,4,1,3,1,4,4,1,3,1,4,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,,,,1,1,,1,,,,,1,,,2,,,
41,นาย,กิตติกร,โล่ห์สุนทร,เพื่อไทย,1,0,0,1,2,1,1,1,4,3,1,1,4,1,3,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,,1,,1,1,,1,1,,,,1,1,,,,,
42,นาย,กิตติชัย,เรืองสวัสดิ์,ภูมิใจไทย,1,0,0,1,2,1,1,1,2,3,4,1,4,1,2,1,2,1,1,1,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,4,3,1,3,1,3,1,1,1,1,1,1,1,3,1,2,2,2,2,2,2,1,1,1,1,1,2,1,2,2,,,,,,1,1,1,1,
43,นางสาว,กิตติ์ธัญญา,วาจาดี,เพื่อไทย,1,0,0,1,2,2,4,4,1,1,1,1,4,1,3,1,4,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1, ,,,,1,1,,,,,,,,,2,2,2,2,
44,นายแพทย์,กิตติศักดิ์,คณาสวัสดิ์,เพื่อไทย,1,0,0,1,2,2,1,1,1,3,1,1,4,1,3,4,4,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1, ,,,,1,1,,1,1,,,,1,1,2,2,2,2,
45,นางสาว,กุลธิดา,รุ่งเรืองเกียรติ,อนาคตใหม่,1,0,0,0,2,1,1,1,2,3,1,1,4,4,2,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,
46,นางสาว,กุลวลี,นพอมรบดี,พลังประชารัฐ,1,0,0,1,1,2,1,2,1,1,1,1,2,1,1,1,2,2,1,1,3,3,3,3,3,1,2,2,2,2,2,2,2,2,2,2,4,1,3,1,3,3,1,1,1,3,3,3,3,1,2,2,2,2,2,2,2,1,1,1,,1,2,1,2,2,4,1,4,1,2,,1,1,1,
47,นาย,กูเฮง,ยาวอหะซัน,ประชาชาติ,1,0,0,1,2,3,1,1,1,3,1,4,4,4,3,4,4,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,,,2,,,1,,,,,,,1,,,2,,3,
48,นาย,เกรียงศักดิ์,ฝ้ายสีงาม,เพื่อไทย,1,0,0,1,2,2,1,1,1,3,1,4,4,1,3,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,,1,1,,1,1,1,1,1,,,2,2,2,,
49,นาย,เกษม,ศุภรานนท์,เศรษฐกิจไทย,1,0,0,1,1,2,1,2,1,1,1,1,2,1,1,1,4,2,1,1,3,3,3,3,2,1,2,2,2,2,2,2,2,2,2,2,4,1,3,1,3,3,1,1,1,3,3,3,3,1,1,2,2,2,2,2,2,1,1,1,1,1,2,1,2,2,1,3,1,,,2,1,1,1,
