id,title,name,lastname,party,is_mp,is_senator,is_cabinet,is_active,votelog.__1,votelog.__2,votelog.__3,votelog.__4,votelog.__5,votelog.__6,votelog.__7,votelog.__8,votelog.__9,votelog.__10,votelog.__11,votelog.__12,votelog.__13,votelog.__14,votelog.__26,votelog.__27,votelog.__28,votelog.__29,votelog.__30,votelog.__31,votelog.__32,votelog.__33,votelog.__34,votelog.__35,votelog.__36,votelog.__37,votelog.__38,votelog.__39,votelog.__40,votelog.__41,votelog.__42,votelog.__43,votelog.__44,votelog.__45,votelog.__46,votelog.__47,votelog.__48,votelog.__49,votelog.__50,votelog.__51,votelog.__52,votelog.__53,votelog.__54,votelog.__55,votelog.__56,votelog.__57,votelog.__58,votelog.__59,votelog.__60,votelog.__61,votelog.__62,votelog.__63,votelog.__64,votelog.__65,votelog.__66,votelog.__67,votelog.__68,votelog.__69,votelog.__70,votelog.__71,votelog.__72,votelog.__73,votelog.__74,votelog.__75,votelog.__76,votelog.__77,votelog.__78,votelog.__79,votelog.__80,votelog.__81,votelog.__82,
755,พลตำรวจเอก,อดุลย์,แสงสิงแก้ว,,0,1,0,1,1,-,-,-,-,-,-,-,-,-,,,-,-,3,1,3,3,2,3,2,1,-,-,-,-,-,-,-,-,-,-,3,2,2,3,2,2,2,3,3,2,2,2,2,1,,,,,,,,,,,1,1,2,-,-,-,-,-,-,-,-,-,-,-,-,
756,พลเอก,อนันตพร,กาญจนรัตน์,,0,1,0,1,1,-,-,-,-,-,-,-,-,-,,,-,-,1,1,3,3,3,3,3,1,-,-,-,-,-,-,-,-,-,-,4,3,2,3,2,2,3,2,3,2,2,2,2,1,,,,,,,,,,,1,1,2,-,-,-,-,-,-,-,-,-,-,-,-,
757,นาย,อนุมัติ,อาหมัด,,0,1,0,1,1,-,-,-,-,-,-,-,-,-,,,-,-,1,1,3,3,3,3,3,1,-,-,-,-,-,-,-,-,-,-,4,2,2,2,2,2,2,2,2,2,2,2,2,1,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,
758,นาย,อนุศักดิ์,คงมาลัย,,0,1,0,1,1,-,-,-,-,-,-,-,-,-,,,-,-,3,1,2,3,2,1,2,1,-,-,-,-,-,-,-,-,-,-,3,3,2,3,3,2,3,1,3,3,3,3,3,1,,,,,,,,,,,,1,2,-,-,-,-,-,-,-,-,-,-,-,-,
759,นาย,อนุศาสน์,สุวรรณมงคล,,0,1,0,1,1,-,-,-,-,-,-,-,-,-,,,-,-,1,1,3,1,3,3,3,3,-,-,-,-,-,-,-,-,-,-,3,2,2,3,1,2,3,1,3,1,1,1,3,3,,,,,,,,,,,1,1,2,-,-,-,-,-,-,-,-,-,-,-,-,
760,นาง,อภิรดี,ตันตราภรณ์,,0,1,0,1,1,-,-,-,-,-,-,-,-,-,,,-,-,3,3,3,3,2,1,3,1,-,-,-,-,-,-,-,-,-,-,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,,1,1,2,-,-,-,-,-,-,-,-,-,-,-,-,
761,พลเอก,อภิรัชต์,คงสมพงษ์,,0,1,0,0,1,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,
762,นาย,อมร,นิลเปรม,,0,1,0,1,1,-,-,-,-,-,-,-,-,-,,,-,-,1,1,3,3,3,3,3,1,-,-,-,-,-,-,-,-,-,-,4,2,2,2,2,2,2,3,3,2,2,2,2,1,,,,,,,,,,,,1,2,-,-,-,-,-,-,-,-,-,-,-,-,
763,นาย,ออน,กาจกระโทก,,0,1,0,1,1,-,-,-,-,-,-,-,-,-,,,-,-,3,3,3,1,3,1,2,1,-,-,-,-,-,-,-,-,-,-,4,2,2,2,2,2,2,1,1,2,2,2,1,1,,,,,,,,,,,1,1,2,-,-,-,-,-,-,-,-,-,-,-,-,
764,พลเอก,อักษรา,เกิดผล,,0,1,0,1,1,-,-,-,-,-,-,-,-,-,,,-,-,1,1,3,3,3,3,3,1,-,-,-,-,-,-,-,-,-,-,4,2,3,3,3,2,2,3,3,3,3,3,3,1,,,,,,,,,,,1,1,2,-,-,-,-,-,-,-,-,-,-,-,-,
765,นาย,อับดุลฮาลิม,มินซาร์,,0,1,0,1,1,-,-,-,-,-,-,-,-,-,,,-,-,3,3,3,1,3,1,3,1,-,-,-,-,-,-,-,-,-,-,3,2,2,1,3,3,3,3,3,3,3,3,1,1,,,,,,,,,,,1,1,2,-,-,-,-,-,-,-,-,-,-,-,-,
766,พลเอก,อาชาไนย,ศรีสุข,,0,1,0,1,1,-,-,-,-,-,-,-,-,-,,,-,-,1,1,3,3,3,3,3,1,-,-,-,-,-,-,-,-,-,-,4,3,3,3,3,3,3,3,3,3,3,3,3,1,,,,,,,,,,,1,1,2,-,-,-,-,-,-,-,-,-,-,-,-,
767,พลโท,อำพน,ชูประทุม,,0,1,0,1,1,-,-,-,-,-,-,-,-,-,,,-,-,1,1,3,3,3,3,2,1,-,-,-,-,-,-,-,-,-,-,3,3,2,2,2,2,2,2,2,2,2,2,2,1,,,,,,,,,,,1,1,2,-,-,-,-,-,-,-,-,-,-,-,-,
768,นาย,อำพล,จินดาวัฒนะ,,0,1,0,1,1,-,-,-,-,-,-,-,-,-,,,-,-,1,1,2,1,2,1,3,3,-,-,-,-,-,-,-,-,-,-,4,2,3,3,1,2,1,3,1,3,2,1,1,3,,,,,,,,,,,1,1,3,-,-,-,-,-,-,-,-,-,-,-,-,
769,พลเรือเอก,อิทธิคมน์,ภมรสูต,,0,1,0,1,1,-,-,-,-,-,-,-,-,-,,,-,-,1,1,3,3,3,3,3,1,-,-,-,-,-,-,-,-,-,-,4,2,3,3,2,2,3,3,3,2,3,2,2,1,,,,,,,,,,,1,1,2,-,-,-,-,-,-,-,-,-,-,-,-,
770,นายแพทย์,อุดม,คชินทร,,0,1,0,0,1,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,
771,นาย,อุดม,วรัญญูรัฐ,,0,1,0,1,1,-,-,-,-,-,-,-,-,-,,,-,-,1,1,3,3,3,3,3,1,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,1,,,,,,,,,,,1,,2,-,-,-,-,-,-,-,-,-,-,-,-,
772,พลเอก,อุดมชัย,ธรรมสาโรรัชต์,,0,1,0,1,1,-,-,-,-,-,-,-,-,-,,,-,-,3,3,3,3,3,3,2,1,-,-,-,-,-,-,-,-,-,-,4,2,2,2,2,2,2,2,2,2,2,2,2,1,,,,,,,,,,,1,1,2,-,-,-,-,-,-,-,-,-,-,-,-,
773,นาย,อุปกิต,ปาจรียางกูร,,0,1,0,1,1,-,-,-,-,-,-,-,-,-,,,-,-,3,1,3,3,3,3,2,1,-,-,-,-,-,-,-,-,-,-,4,2,2,2,2,2,3,3,2,2,2,2,2,1,,,,,,,,,,,,1,2,-,-,-,-,-,-,-,-,-,-,-,-,
774,พลเอก,อู้ด,เบื้องบน,,0,1,0,1,1,-,-,-,-,-,-,-,-,-,,,-,-,1,1,3,3,3,3,2,1,-,-,-,-,-,-,-,-,-,-,4,3,2,2,2,2,3,3,3,2,2,2,2,1,,,,,,,,,,,1,1,2,-,-,-,-,-,-,-,-,-,-,-,-,
775,พลตรี,โอสถ,ภาวิไล,,0,1,0,1,1,-,-,-,-,-,-,-,-,-,,,-,-,3,1,3,1,3,1,2,1,-,-,-,-,-,-,-,-,-,-,4,3,3,1,3,3,3,3,3,3,3,3,3,1,,,,,,,,,,,1,1,2,-,-,-,-,-,-,-,-,-,-,-,-,
776,นาย,อภิชาติ,โตดิลกเวชช์,,0,1,0,1,-,-,-,-,-,-,-,-,-,-,,,-,-,1,1,3,3,3,1,3,1,-,-,-,-,-,-,-,-,-,-,3,2,2,3,2,2,2,2,2,2,2,2,2,1,,,,,,,,,,,1,,2,-,-,-,-,-,-,-,-,-,-,-,-,
777,พลอากาศเอก,มานัต,วงษ์วาทย์,,0,1,0,0,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,
778,นาย,สุวิชญ์,โยทองยศ,,,,,0,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,,,,,,,,,,,,-,
779,นางสาว,กัญจนา,ศิลปอาชา,ชาติไทยพัฒนา,0,0,0,0,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
780,นาย,วิวัฒน์,เจริญพาณิชย์ศิริ,,,,,0,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,,,,,,,,,,,,-,
781,นาย,จตุรวิทย์,กาละมิตร์,,,,,0,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,,,,,,,,,,,,-,
782,พันตำรวจเอก,ทวี,สอดส่อง,ประชาชาติ,1,0,0,1,-,-,-,-,-,-,-,-,-,-,,,-,-,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,1,1,2,,1,1,,1,1,,,,1,1,2,2,2,,
783,นาย,ชัยวุฑ,ตรึกตรอง,,,,,0,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,,,,,,,,,,,,-,
784,นาย,ชุณห์,ศิริชัยคีรีโกศล,,,,,0,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,,,,,,,,,,,,-,
785,พลตำรวจตรี,วรยุทธ,อินทรสุวรรณ,,,,,0,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,,,,,,,,,,,,-,
786,ศาสตราจารย์ นายแพทย์,สมเกียรติ,วัฒนศิริชัยกุล,,,,,0,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,,,,,,,,,,,,-,
787,นาย,ธีรศักดิ์,พานิชวิทย์,พลังท้องถิ่นไท,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
788,นาย,วินัย,ไชยบุตร,,,,,0,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,,,,,,,,,,,,-,
789,นายแพทย์,นิทัศน์,รายยวา,,,,,0,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,,,,,,,,,,,,-,
790,นาย,จรินทร์,เฮียงกุล,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,,,,,,,,,,,,-,
791,นาย,ทวีศักดิ์,ณ ตะกั่วทุ่ง,,,,,0,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,,,,,,,,,,,,-,
792,นาย,สันติภาพ,อินทรพัฒน์,,,,,0,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,,,,,,,,,,,,-,
793,นาย,เผดิมชัย,สะสมทรัพย์,ชาติไทยพัฒนา,1,0,0,1,-,-,-,-,-,-,-,4,2,1,1,4,2,2,1,1,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,4,1,3,1,3,3,1,1,1,1,1,3,1,1,,2,,,,,,,1,1,,1,2,,,,1,1,1,1,,1,1,1,1,
794,นาย,สวาป,เผ่าประทาน,ภูมิใจไทย,1,0,0,1,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,1,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,4,3,1,3,1,3,1,1,1,1,1,1,1,3,,2,,,,,,1,1,1,1,1,2,1,2,2,1,1,1,1,2,1,1,1,3,
795,นาย,มานพ,คีรีภูวดล,ก้าวไกล,1,0,0,1,-,-,-,-,-,-,-,-,4,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,3,3,1,3,3,3,3,3,3,1,3,3,,,1,,1,,,1,,,2,2,1,1,1,,1,1,1,2,2,2,2,2,2,
796,นาย,สมศักดิ์,คุณเงิน,เศรษฐกิจไทย,1,0,0,1,-,-,-,-,-,-,-,-,-,-,-,-,2,2,1,1,3,3,3,3,3,1,2,2,2,2,2,2,2,2,2,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,,2,,,,,,1,1,1,1,1,2,1,2,2,,,,,3,2,1,2,3,
797,นางสาว,พิมพ์รพี,พันธุ์วิชาติกุล,ประชาธิปัตย์,1,0,0,1,-,-,-,-,-,-,-,-,-,1,4,1,2,2,1,1,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,1,1,1,,1,2,,2,2,,1,1,1,1,2,1,1,1,
798,นาย,เพชรภูมิ,อาภรณ์รัตน์,พลังประชารัฐ,1,0,0,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,1,3,3,3,3,3,1,2,2,2,2,2,2,2,2,2,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,1,1,1,1,1,2,1,2,2,1,1,1,1,,1,1,1,1,
799,นาง,กนกนุช,กลิ่นสังข์,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
800,นาย,กฤช,เอื้อวงศ์,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
801,นาย,กฤต,เลิศเศรษฐการ,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
802,นาย,กิติศักดิ์,พ้นภัย,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
803,นาย,เกิดโชค,เกษมวงศ์จิตร,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
804,นาย,โกวิทย์,ธารณา,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
805,นางสาว,ขนิษฐา,สหเมธาพัฒน์,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
806,นาง,คชาภรณ์,รุ่งหิรัญรักษ์,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
807,นาย,คมสัณห์,ฐานะโชติพันธุ์,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
808,นาย,คริส,โปตระนันทน์,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
809,นาย,จตุภัทร์,บุญภัทรรักษา,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
810,นาย,จารุพล,เรืองสุวรรณ,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
811,รองศาสตราจารย์,จิราพร,ลิ้มปานานนท์,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
812,นาย,เจริญ,คัมภีรภาพ,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
813,นาย,ฉลอง,เทพวิทักษ์กิจ,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
814,นาย,ฉลอง,เรี่ยวแรง,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
815,นาย,ชนินทร์,รุ่งแสง,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
816,นางสาว,ชลธิชา,แจ้งเร็ว,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
817,นาย,ชัน,ภักดีศรี,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
818,นาย,ชัยเกษม,นิติสิริ,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
819,นาย,ชัยณรงค์,กัจฉปานันท์,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
820,นาย,ชัยธวัช,ตุลาธน,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
821,นาย,ชัยวุฒิ,ผ่องแผ้ว,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
822,นาย,ชำนาญ,ชูเที่ยง,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
823,นาย,ชุมลาภ,เตชะเสน,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
824,นาย,ชุมสาย,ศรียาภัย,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
825,นาง,ชูชีวี,ชีพชล,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
826,นาย,ชูศักดิ์,ศิรินิล,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
827,นาย,เชษฐา,โมสิกรัตน์,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
828,นาย,เชิดชัย,ตันติศิรินทร์,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
829,พลตำรวจตรี,โชติ,ชัยชมภู,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
830,นาย,ไชยณรงค์,เศรษฐเชื้อ,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
831,นาย,ณรงค์,สืบตระกูล,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
832,นาย,ณัฐพงษ์,พานิชศิริ,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
833,นาย,ดนัย,ธีวันดา,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
834,หม่อมหลวง,ดิศปนัดดา,ดิศกุล,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
835,นาย,ดิสทัต,คำประกอบ,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
836,นาง,ดุษฎี,นามวิเศษ,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
837,นาย,เดชรัต,สุขกำเนิด,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
838,นาย,ตรีรัตน์,ศิริจันทโรภาส,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
839,รองศาสตราจารย์,ต่อตระกูล,ยมนาค,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
840,นาย,เถกิง,ศักดานุวงศ์,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
841,นาย,เถลิงศักดิ์,เพ็ชรสุวรรณ,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
842,นาย,ทศพร,เสรีรักษ์,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
843,นาย,ทศพล,เพ็งส้ม,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
844,นาย,ธนกร,วังบุญคงชนะ,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
845,นาย,ธนวัฒน์,ศรีสุข,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
846,นาย,ธนาคม,จงจิระ,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
847,นาย,ธเนศ,ดุสิตสุนทรกุล,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
848,นาย,ธารา,กุศลชาติธรรม,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
849,นาย,ธีรศานต์,สหัสสพาศน์,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
850,นาย,ธีระทัศน์,เตียวเจริญโสภา,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
851,พลเรือตรี,ธีระยุทธ,นอบน้อม,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
