118,278,นายสมคิด เชื้อคง,พรรคเพื่อไทย,
119,387,นายสมพงษ์ อมรวิวัฒน์,พรรคเพื่อไทย,
120,2393,นายสยาม หัตถสงเคราะห์,พรรคเพื่อไทย,-
121,3297,นางสาวสรัสนันท์ คอรรณนพพร,พรรคเพื่อไทย,-
122,ๆ22,นายสุขาติ ภิญโญ,พรรคเพื่อไทย,-
123,027,นายสุทีน คลังแสง,พรรคเพื่อไทย,-
124,435,นายสรชาติ ขาญประดิษฐ์,พรรคเพื่อไทย,-
,,,กลุ่มงานรายงานการประชุม สํานักรายงานการประชุมและชวเลข,
,,,,หน้า 5/ 1.1518
สําดับที่,เลขที่บัตร,ชื่อ-สกุล,ชื่อสังกัด,ผลการลงคะแนนบ
125,4ๆ329,นายสุรพงษ์ อึ้งอัมพรวิไล,พรรคเพื่อไทย,-
126,ฮุ54,นายองอาจ วงษ์ประยูร,พรรคเพื่อไทย,
127,ฮ458,นายอนันต์ ศรีพันธุ์,พรรคเพื่อไทย,-
128,467,นางอนุวักษ์ บุญศส,พรรคเพื่อไทย,-
129,468,นายอนุสรณ์ ปั้นทอง,พรรคเพื่อไทย,
1ไ30,ๆ72,นายอภิชาติ ตีรสวัสดิชัย,พรรคเพื่อไทย,-
131,ๆ95,นายเอกชัย ทรงอํานาจเจริญ,พรรคเพื่อไทย,
132,005,นางกรณีศ งามสุคนธ์รัตนา,พรรคพลังประชารัฐ,เห็นด้วย
133,007,นายกรุงศรีวิไล สุทินเผือก,พรรคพลังประชารัฐ,เห็นด้วย
1384,010,นายกฤษณ์ แก้วอยู่,พรรคพลังประซาวัฐ,เห็นด้วย
135,012,นายกนษิตี้เดช ซูติมันต์,พรรคพลังประชารัฐ,เห็นด้วย
ไว6,015,ฆนางสาวกัสยา รุงวิจิตรชัย,พรรคพลังประชารัฐ,เห็นด้วย
137,017,นางสาวกานต์กนิษฐ์ แห้วสันตติ,พรรคพลังประชาวัฐ,เห็นต้วย
138,025,นางสาวกุลวสี นพอมรบตี,พรรคพลังประชาธัฐ,เห็นด้วย
139,050,ว้อยเอก จองชัย วงศ์ทรายทอง,พรรคพลังประชาวัฐ,เห็นด้วย
140,055,นายจักรพันธ์ พรนิมิตร,พรรคพลังประชารัฐ,เห็นด้วย
141,056,นายจักรัตน์ ผิ้วช่วย,พรรคพลังประชารัฐ,เห็นด้วย
142,077,นางเจริญ เรียวแรง,พรรคพลังประชาธรัฐ,เห็นด้วย
143,091,นายขชัยวัฒน์ เป้าเปี่ยมทรัพย์,พรรคพลังประชารัฐ,เห็นด้วย
1484,092,นายซัยวุฒิ ธนาคมานุสรณ์,พรรคพลังประชารัฐ,เห็นด้วย
145,094,นายชาญวิทย์ วิภูศิริ,พรรคพลังประชารัฐ,เห็นด้วย
146,100,นายชูศักดิ์ คศีรีมาศทอง,พรรคพลังประชาวรัฐ,เห็นด้วย
147,102,นายเซข็งชาย ชาสิรินทร์,พรรคพลังประชาวัฐ,เห็นด้วย
146,105,นายโซติวุฒิ ธนาคมานุสรณ์,พรรคพลังประชารัฐ,เห็นด้วย
149,110,พันตํารวจโท ฐนภัทร กิตติวงศา,พรรคพลังประซารัฐ,เห็นด้วย
150,111,นายฐานิสร์ เทียนทอง,พรรคพลังประชาวัฐ,เห็นด้วย
151,112,นายฐาปกรณ์ กุลเจริญ,พรรคพลังประชารัฐ,เห็นด้วย
152,114,นางสาวฐิติภัสร์ โซติเดชาซัยนันต์,พรรคพลังประชารัฐ,เห็นด้วย
153,130,นางสาวตรีนุช เทียนทอง,พรรคพลังประชารัฐ,เห็นด้วย
15ฉ8,137,นายทวิวัฐ วัตนเศรษฐ,พรรคพลังประชารัฐ,เห็นด้วย
155,145,นายกองตรีอาญาสิทธิ์ ศรีสุวรรณ,พรรคพลังประชาวัฐ,เห็นด้วย
156,158,นายธรรมวิชญ์ โพธิพิพิธ,พรรคพลังประชารัฐ,เห็นด้วย
157,ไ74,นายพรชัย ตระกูลวรานนท์,พรรคพลังประชารัฐ,เห็นด้วย
,,,กลุ่มงานรายงานการประชุม สํานักรายงานการประชุมและซวเลข,
,,,,หน้า 6/ 1.1518
ลําดับที่,เลขที่บัตร,ชื่อ-สกุล,ซือสังกัดต,ผลการลงคะแนน
158,176,นายนบัทธี ถินสาคู,พรรคพลังประชารัฐ,เห็นด้วย
159,181,นายนิพันธ์ ศิริธร,พรรคหลังประซารัฐ,เห็นด้วย
160,188,นายนีใรธ สุนทรเดขา,พรรคพลังประชาวัฐ,เห็นด้วย
161,195,นางบุญยิง นิติกาญจนา,พรรคพลังประชารัฐ,เห็นด้วย
162,202,นายปฐมพงศ์ สูญจันทร์,พรรคพลังประชารัฐ,เห็นด้วย
163,206,นายบระทวน สหทธิอํานวยเดช,พรรคพลังประชารัฐ,เห็นด้วย
164,211,นายประสิทธิ์ มะหะหมัด,พรรคพลังประชารัฐ,เห็นด้วย
165,217,นายปริญญา ถกษ์หร่าย,พรรคพลังประชารัฐ,เห็นด้วย
ได66,227,นายพงศ์กวิน จึงรุงเรืองกิจ,พรรคพลังประซารัฐ,เห็นด้วย
167,229,นายพยม พรหมเพชร,พรรคพลังประชารัฐ,เห็นด้วย
168,235,นางพรรณสิรี คุลนาถศิริ,พรรศพลังประชารัฐ,เห็นด้วย
169,2368,นางสาวพัซรีนทร์ ซําศิริพงษ์,พรรคพลังประชารัฐ,เห็นด้วย
170,202,นางพิชชารัตน์ เลาหพงศ์ซนะ,พรรคพลังประชาวัฐ,เห็นด้วย
171,248,นายพิเชษฐ สถิรซวาล,พรรคพลังประชาวัฐ,เห็นด้วย
172,247,นางสาวพิมพ์พร พรพฤตฒิพันธุ์,พรรคพลังประชารัฐ,เห็นด้วย
173,253,นายต่อศักดิ์ ยอัศวเหม,พรรคพลังประชาวัฐ,เห็นด้วย
ไธ,259,นายไพบูลย์ บิติตะวัน,พรรคพลังประชารัฐ,เห็นด้วย
175,261,นางสาวไพลิน เทียนสุวรรณ,พรรศพลังประชารัฐ,เห็นด้วย
176,64,นางสาวภริม พูลเจริญ,พรรคพลังประชารัฐ,เห็นด้วย
177,267,นางสาวภาตาท์ วรกานนท์,พรรคพลังประชารัฐ,เห็นด้วย
178,270,นายภิญโญ บิโรจน์,พรรคพลังประชารัฐ,เห็นด้วย
179,271,นายภูติท ยอินสุวรรณ์,พรรศพลังประชารัฐ,เห็นด้วย
180,275,นายมณเฑียร สงฆ์ประชา,พรรคพลังประชารัฐ,เห็นด้วย
181,284,นายมานัส อ่อนอ้าย,พรรคพลังประชารัฐ,เห็นด้วย
182,289,นายยงยุทธิ สวรรณบุตร,พรรคพลังประชาวัฐ,เห็นด้วย
183,294,รองศาสตราจารย์รงค์ บุญสวยขวัญ,พรรคหลังประชาวัฐ,เห็นด้วย
1ไ8ๆ,295,นายรณเทพ อนุวัฒน์,พรรคพลังประชารัฐ,เห็นด้วย
185,309,นางสาววทันยา วงษ์โอภาสี,พรรคพลังประซารัฐ,เห็นด้วย
186,317,นายวัชระ ยาวอหะซัน,พรรคพลังประชารัฐ,เห็นด้วย
187,2392,น่ายวันชัย ปริญญาศิริ,พรรคพลังประชารัฐ,เห็นด้วย
188,3794,นางวันเพ็ญ พร้อมพัฒน์,พรรคพลังประซารัฐ,เห็นด้วย
189,327,นายวิเชียร ซวลิต,พรรคพลังประชารัฐ,เห็นด้วย
190,242,นายวิระกร คําประกอบ,พรรคพลังประชารัฐ,เห็นด้วย
,,,กลุ่มงานรายงานการประชุม สํานักรายงานการประชุมแสะซวเสข,
,,,,หน้า 7/ 1.1518 -
สําดับที่,เลขที่บัตร,ขือ-สกุล,ชื่อสังกัด,ผลการลงคะแนน
191,249,นายเพชรภูมิ อาภรณ์รัตน์,พรรคพลังประชารัฐ,เห็นด้วย
192,359,นายศาสตรา ศรีปาน,พรรคพลังประชารัฐ,เห็นด้วย
193,262,นายศิริพงษ์ รัสม,พรรคพลังประชารัฐ,เห็นด้วย
194,ว76,นายสมเกียรติ วอนเพียร,พรรคพลังประชารัฐ,เห็นด้วย
195,382,พลเอก สมซาย วิษณุวงศ์,พรรคพลังประชารัฐ,เห็นด้วย
ใ96,384,นายสมบัติ อํานาคะ,พรรคพลังประชารัฐ,เห็นด้วย
197,5386,นายสมพงษ์ ใโสภณ,พรรคพลังประชารัฐ,เห็นด้วย
198,589,นายสมศักดิ์ เทพสุทิน,พรรคพลังประชาวัฐ,เห็นด้วย
199,2395,นายสรวุฒี เนื่องจํานงค์,พรรคพลังประชารัฐ,เห็นด้วย
200,402,นายสัญญา นิลสุพรรณ,พรรคพลังประชารัฐ,เห็นด้วย
201,403,นายสัณหพจน์ สุขศรีเมือง,พรรคพลังประชารัฐ,เห็นด้วย
202,404,นายสุรพร ดนัยตั้งตระกูล,พรรคพลังประชารัฐ,เห็นด้วย
203,4ๆ06,นายสัมพันธ์ มะผูใช้ะ,พรรคพลังประชารัฐ,เห็นด้วย
204,40 ก,นายสัมถทธิ์ แทนทรัพย์,พรรคพลังประซารัฐ,เห็นตด้วย
205,411,นายสาธิต ยุ่ยตระกูล,พรรคพลังประชารัฐ,เห็นด้วย
206,412,นายสายัณห์ ยุติธรรม,พรรคพลังประชารัฐ,เห็นด้วย
207,423,นายสุชาติ อุสาหะ,พรรคพลังประชารัฐ,เห็นด้วย
208,ๆ26,นายสุทา ประทีป ณ ถสาง,พรรคพลังประชารัฐ,เห็นด้วย
209,ๆ 30,นายชวน ซูจันทร์,พรรคพลังประชารัฐ,เห็นด้วย
210,4ๆ36,นายสุรชาติ ศรีบุศกร,พรรคพลังประชารัฐ,เห็นด้วย
211,442,นายสุรศักดิ์ ซิงนวรรณ์,พรรคพลังประชารัฐ,เห็นต้วย
212,เสาส 4,นายสุรศักดิ์ อนรรฆพันธ์,พรรคพลังประชารัฐ,เห็นด้วย
213,445,นายสุรสิทธิ์ บนธิวุฒิวรรักษ์,พรรคพลังประชารัฐ,เห็นด้วย
214,ฮี4ีอิ,นายสุรสิทธิ์ วงศ์วิทยานันท์,พรรคพลังประซารัฐ,เห็นด้วย
215,4848,นายสุรียะ จึงรุ่งเรืองกิจ,พรรคพลังประชารัฐ,เห็นด้วย
216,456,นายอธิรัฐ วัตนเศราษฐ,พรรคหลังประชาวัธุ,เห็นด้วย
217,4ๆ57,นายอฮนันต์ ผลอํานวย,พรรคพลังประชารัฐ,เห็นด้วย
218,4ๆ460,นายอนุขา น้อยวงศ์,พรรคพลังประชารัฐ,เห็นด้วย
219,8461,นายอนุขา นาคาศัย,พรรคพลถังประชารัฐ,เห็นด้วย
220,476,นายอฮรรถกร ศิริล์ทธยากร,พรรคพลังประชารัฐ,เห็นด้วย
221,ก77,ร้อยตํารวจเอก อรุณ สวัสดี,พรรคพลังประซารัฐ,เห็นด้วย
222,4ไ4709,นายอัครวัฒน์ อัศวเหม,พรรคพลังประชาวัฐ,เห็นด้วย
223,4ๆ80,นายจัฏธพล โพธิพิพิธ,พรรคพลังประชาวัฐ,เห็นด้วย
,,,กลุ่มงานรายงานการประชุม สํานักรายงานการประชุมและซวเลข,
,,,,หน้า 8/ 1.1518
ลําดับที่,เลขที่บัตร,ขือ-สกุล,ซื่อสังกัด,ผลการลงคะแนน
