0,1,2,3,4,5
149,110,พันตำราจโท ธนภัทร กิตติวงศา,พรรคพลังประชารัฐ,เท็นด้วย,
150,111,นายฐานิสร์ เทียนทอง,พรรคพลังประชารัฐ,เท็นด้วย,
151,112,นายฐาปกรณ์ กุลเจริญ,พรรคพลังประชารัฐ,เห็นด้วย,
152,114,นางสาวธิติภัสร์ โชติเดชาชัยนันต์,พรรคพลังประชารัฐ,เห็นด้วย,
153,130,นางสาาตรีนุช .ทียนทอง,พรรคพลังประชารัฐ,เท็นด้วย,
154,137,นายทวิรัฐ รัตนเศรษฐ,พรรคพลังประชารัฐ .,เท็นด้าย,
155,145,นายกองตรีอาญาสิทธิ์ ศรีสุวรรณ,พรรคพลังประชารัฐ,เท็นด้วย,
156,158,นายธรรมวิชญ์ โพธิพิพิธ,พรรคพลังประชารัฐ,เห็นด้วย,
157,174,นายพรชัย ตระกูลารานนท์,พรรคพลังประชารัฐ,เห็นด้วย,
,,,,หน้า 6/ 1.1521,
ลำดับที่,เลขที่บัตร,ชือ-สกุล,ชื่อสังกัด,ผลการลงคะแนน,
158,176,นายนัทธี ถิ่นสาคู,พรรคพลังประชารัฐ,เท็นด้วย,
159,181,นายนิพันธ์ ศิริธร,พรรคพลังประชารัฐ,เท็นด้วย.,
160,188,นายนิโรธ สุนทรเลขา,พรรคพลังประชารัฐ,เห็นด้วย,
161,195,นางบุญยิง นิติกาญจนา,พรรคพลังประชารัฐ,เห็นต้วย,
162,202,นายปฐมพงศ์ สูญจันทร์,พรรคพลังประชารัฐ,เห็นด้วย.,
163,206,นายประทวน สุทธิอำนวยเดช,พรรคพลังประชารัฐ,เห็นด้วย,
164,211,นายประสิทธิ์ มะหะหมัด,พรรคพลังประชารัฐ,เห็นด้วย,
165,217,นายปริญญา ฤกษ์หร่าย,พรรคพลังประชารัฐ,เห็นด้วย,
166,235,นางพรรณสิริ กุลนาถศิริ,พรรคพลังประชารัฐ,เห็นด้วย,
167,238,นางสาวพัชรินทร์ ชำศิริพงษ์,พรรคพลังประชารัฐ,.ห็นด้วย,
168,242,นางพิชชารัตน์ เลาหพงศ์ชนะ,พรรคพลังประชารัฐ,.ห็นด้วย,
